File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B3_CW83,been,2078.3370756449,1,4,-0.3688360241,66.6666666667,28.5714285714,40,33.3333333333,22.2222222222,40,44.4444444444,33.3333333333,57.1428571429,66.6666666667,28.5714285714,28.5714285714,57.1428571429,66.6666666667,33.3333333333
B3_CW84,call,1191.2652937109,1,4,0.7880820478,0,33.3333333333,0,0,66.6666666667,0,100,0,28.5714285714,0,66.6666666667,0,0,28.5714285714,85.7142857143
B3_CW85,who,1066.2518464228,1,3,0.6681360293,50,40,0,0,50,50,50,50,80,0,80,0,66.6666666667,50,50
B3_CW86,oil,2252.3939381268,1,3,0.5907314963,19.0476190476,66.6666666667,50,50,80,0,80,40,33.3333333333,25,33.3333333333,0,50,28.5714285714,33.3333333333
B3_CW87,its,2078.3370756449,1,3,0.4834517458,0,40,0,0,22.2222222222,28.5714285714,100,0,0,0,0,0,0,33.3333333333,66.6666666667
B3_CW88,now,1904.3660424139,1,3,0.7180117263,80,66.6666666667,0,0,75,0,100,0,100,60,100,0,80,0,100
B3_CW89,find,2317.9521011663,1,4,0.6805863525,0,40,28.5714285714,0,88.8888888889,0,66.6666666667,0,28.5714285714,0,100,40,40,0,57.1428571429
B3_CW9,that,2038.6387615269,1,4,0.8007855377,28.5714285714,50,0,0,36.3636363636,0,36.3636363636,36.3636363636,75,0,72.7272727273,0,0,25,40
B3_CW90,long,1191.2652937109,1,4,0.1896802532,0,75,40,25,46.1538461538,33.3333333333,66.6666666667,0,100,66.6666666667,88.8888888889,33.3333333333,40,44.4444444444,0
B3_CW91,down,1904.3660424139,1,4,0.4665291637,0,28.5714285714,33.3333333333,33.3333333333,60,0,40,0,0,0,54.5454545455,25,0,22.2222222222,28.5714285714
B3_CW92,day,2216.205902733,1,3,0.4693495741,0,33.3333333333,0,0,50,18.1818181818,66.6666666667,100,85.7142857143,0,25,40,0,25,33.3333333333
B3_CW93,did,2078.3370756449,1,3,0.5806112697,0,0,0,0,50,0,66.6666666667,0,0,0,50,0,33.3333333333,0,0
B3_CW94,get,1890.185440638,1,3,0.1526773115,66.6666666667,0,33.3333333333,33.3333333333,57.1428571429,36.3636363636,33.3333333333,33.3333333333,33.3333333333,0,33.3333333333,0,40,40,0
B3_CW95,come,1352.0832074987,1,4,0.3837587403,33.3333333333,28.5714285714,57.1428571429,28.5714285714,75,22.2222222222,85.7142857143,33.3333333333,28.5714285714,40,75,66.6666666667,33.3333333333,0,50
B3_CW96,made,2216.205902733,1,4,0.5817415253,40,57.1428571429,0,57.1428571429,60,26.6666666667,57.1428571429,33.3333333333,66.6666666667,33.3333333333,57.1428571429,33.3333333333,0,25,28.5714285714
B3_CW97,may,2216.205902733,1,3,0.8425863276,57.1428571429,66.6666666667,40,40,80,40,100,40,100,0,100,33.3333333333,66.6666666667,40,100
B3_CW98,part,1538.412493449,1,4,0.5946390198,33.3333333333,66.6666666667,0,28.5714285714,44.4444444444,0,33.3333333333,33.3333333333,0,0,0,0,28.5714285714,18.1818181818,25
B3_CW99,oh,1250.7156932756,1,2,0.3848514303,28.5714285714,100,66.6666666667,0,100,0,80,66.6666666667,50,100,100,66.6666666667,100,0,50
B3_D1,One,1352.0832074987,1,3,0.4453369388,33.3333333333,0,40,28.5714285714,40,0,33.3333333333,0,66.6666666667,0,66.6666666667,0,28.5714285714,0,28.5714285714
B3_D2,Two,1066.2518464228,1,3,0.0925499501,50,40,50,0,40,0,40,40,40,50,40,40,50,0,0
B3_D3,Three,2347.0509155108,1,5,0.4445209485,33.3333333333,25,0,44.4444444444,61.5384615385,0,66.6666666667,33.3333333333,33.3333333333,28.5714285714,22.2222222222,0,0,40,0
B3_D4,Four,1191.2652937109,1,4,0.4879344269,50,50,0,0,50,40,50,50,0,25,28.5714285714,33.3333333333,57.1428571429,28.5714285714,57.1428571429
B3_D5,Five,2317.9521011663,1,4,0.4890039934,0,33.3333333333,33.3333333333,22.2222222222,54.5454545455,18.1818181818,33.3333333333,33.3333333333,0,0,66.6666666667,0,0,16.6666666667,0
B3_D6,Six,2078.3370756449,1,3,0.3444385262,0,0,0,0,0,0,0,0,0,0,66.6666666667,0,0,0,0
